2026-02-12 04:51:12 | main               | INFO    | ============================================================
2026-02-12 04:51:12 | main               | INFO    | \U0001f680 Starting LinkedIn Job Referral Bot
2026-02-12 04:51:12 | main               | INFO    | ============================================================
2026-02-12 04:51:13 | main               | INFO    | \U0001f4ca Weekly activity: 0/180 connections, 0/1500 profile views
2026-02-12 04:51:13 | main               | INFO    | \U0001f310 Launching browser …
2026-02-12 04:51:15 | main               | INFO    | \U0001f510 Logging into LinkedIn …
2026-02-12 04:51:15 | auth               | INFO    | Checking for existing LinkedIn session …
2026-02-12 04:51:23 | auth               | INFO    | \u2705 Already logged in (session from Chrome profile).
2026-02-12 04:51:23 | main               | INFO    | \U0001f4cb Scraping job listings …
2026-02-12 04:51:23 | scraper            | INFO    | \U0001f50d Searching: Full-Stack Developer
2026-02-12 04:51:57 | scraper            | INFO    |   Page 1: 16 cards \u2192 16 new, 0 dupes
2026-02-12 04:52:10 | scraper            | INFO    |   \u2705 16 new, 0 dupes for 'Full-Stack Developer'
2026-02-12 04:52:10 | scraper            | INFO    | \u2705 Total new jobs scraped: 16
2026-02-12 04:52:10 | main               | INFO    | Found 16 new jobs.
2026-02-12 04:52:10 | main               | INFO    | \u2709\ufe0f  Starting referral outreach …
2026-02-12 04:52:10 | messenger          | INFO    | \U0001f4ca Weekly stats: 0/180 connections, 0/1500 profile views
2026-02-12 04:52:10 | messenger          | INFO    | \U0001f3e2 Looking for employees at: Snowflake
2026-02-12 04:52:32 | messenger          | INFO    |   \u2192 Found 3 relevant contacts out of 16 (titles: Sr. Manager - Talent acquisiti, Sr. Tech Recruiter - Engineeri, Engineering Manager at Snowfla)
2026-02-12 04:52:39 | messenger          | WARNING |   \u26a0\ufe0f  Could not message Swarna Kasera
2026-02-12 04:52:49 | messenger          | WARNING |   \u26a0\ufe0f  Could not message Jennifer Xing \u2744
2026-02-12 04:52:57 | messenger          | WARNING |   \u26a0\ufe0f  Could not message Michael L.
2026-02-12 04:52:59 | messenger          | INFO    | \U0001f3e2 Looking for employees at: Potenco
2026-02-12 04:53:21 | messenger          | INFO    |   \u2192 Found 1 relevant contacts out of 7 (titles: Director of Talent Acquisition)
2026-02-12 04:53:51 | messenger          | INFO    |   \u2709\ufe0f  Sent referral request to Farnaz Shokrieh (Potenco)
2026-02-12 04:54:55 | messenger          | INFO    | \U0001f6d1 Daily message limit reached (1).
2026-02-12 04:54:55 | messenger          | INFO    | \u2705 Total referral messages sent this run: 1
2026-02-12 04:54:55 | messenger          | INFO    | \U0001f4ca Updated weekly totals: ~1 connections, ~2 profile views
2026-02-12 04:54:55 | main               | INFO    | \U0001f3c1 Pipeline complete.
2026-02-12 04:54:57 | main               | INFO    | Browser closed.
